Class number,Name,,
0,Speed limit(20km/hr),,
1,Speed limit(30km/hr,,
2,Speed limit(50km/hr,,
3,Speed limit(60km/hr,,
4,Speed limit(70km/hr,,
5,Speed limit(80km/hr,,
6,End of speed limit(20km/hr,,
7,Speed limit(100km/hr,,
8,Speed limit(120km/hr,,
9,No passing,,
10,No passing for vehicles over 3.5 metric tons,,
11,Right-of-way at the next intersection,,
12,Priority road,,
13,Yield,,
14,Stop,,
15,No vehicles,,
16,Vehicles over 3.5 metric tons prohibited,,
17,No entry,,
18,General caution,,
19,Dangerous curve to the right,,the left
20,Dangerous curve to the right,,
21,Double curve,,
22,Bumpy road,,
23,Slippery road,,
24,Road narrows on the right,,
25,Road work,,
26,Traffic signals,,
27,Pedestrians,,
28,Children crossing,,
29,Bicycles crossing,,
30,Beware of ice/snow,,
31,Wild animals crossing,,
32,End of all speed and passing limits,,
33,Turn right ahead,,
34,Turn left ahead,,
35,Ahead only,,
36,Go straight or right,,
37,Go straight or left,,
38,Keep right,,
39,Keep left,,
40,Round about mandatory,,
41,End of no passing,,
42,End of no passing by vehicles over 3.5 meteric tons,,
43,unknown,,
